NCT Number,Study Title
NCT03292796,RCT to Investigate if Prostaglandin Analogue Drops Increase the Risk of Cystoid Macular Oedema After Cataract Surgery.
NCT01110499,Safety and Efficacy of AGN-210961 Ophthalmic Solution Compared With Bimatoprost Ophthalmic Solution in Patients With Glaucoma or Ocular Hypertension
NCT00794170,Interactive Study to Increase Glaucoma Adherence to Treatment
NCT01937299,Effect of SIMBRINZA® Suspension as an Added Therapy to TRAVATAN Z®
NCT01145911,The Study of Ocular Hemodynamics With Glaucoma Progression
NCT01495299,24-hour IOP Fluctuation Profile Recorded With SENSIMED Triggerfish in Primary Open-angle Glaucoma (POAG) Patients After Cataract Surgery
NCT05278299,Asia Glaucoma Registry
NCT00912470,Progressive Open Angle Glaucoma (OAG) and Ocular Blood Flow
NCT01128699,Ahmed Valve Glaucoma Implant With Adjunctive Subconjunctival Bevacizumab in Refractory Glaucoma
NCT00917670,Ultrastructural Changes of Trabeculectomy Specimens in Patients With Uveitic Secondary Glaucoma
NCT00845299,Study of the Effects of Artificial Tears on the Response to the Latanoprost Punctal Plug Delivery System in Subjects With Ocular Hypertension or Open-Angle Glaucoma
NCT00705770,A Multi-Dose Study With a Treatment for Open-Angle Glaucoma
NCT01833741,A Study of LUMIGAN® RC in the Clinical Setting
NCT00153699,Relationship Between Topiramate Use and Ocular Angle Status
NCT00760240,Ability of Patients With Low Vision to Properly Instill Eye Drops
NCT05411198,Study to Assess Change in Disease Activity and Adverse Events of Ab Externo Approach for Glaucoma Gel Stent (XEN45) Implantation In Participants Aged 45 Years or Older With Open-Angle Glaucoma
NCT01915940,Bimatoprost Ocular Insert Compared to Topical Timolol Solution in Patients With Glaucoma or Ocular Hypertension
NCT04187157,Association Between Light Spectrum and Survival After Cataract Surgery
NCT00320957,Ologen (OculusGen)-Glaucoma and Pterygium Historical Control Study in China Zhong-Shan Hospital
NCT01085357,Study of an Implantable Device for Lowering Intraocular Pressure in Glaucoma Patients Undergoing Cataract Surgery
NCT01021657,Lipid Profile of Tenon's Capsule
NCT02547740,Macular Damage in Early Glaucoma and Progression
NCT04846140,Optimal Non-invasive Brain Stimulation for Peripheral Vision
NCT02805257,Ahmed Glaucoma Valve Surgery With Mitomycin-C
NCT02330978,Intravitreal Mesenchymal Stem Cell Transplantation in Advanced Glaucoma.
NCT00804323,PASCAL Trabeculoplasty
NCT00435058,Visual Function Changes After Intraocular Pressure Reduction
NCT02295358,The Effect of Omega-3 Fatty Acid Supplementation on Intraocular Pressure & Ocular Surface
NCT01655758,24-hour Control of Intraocular Pressure (IOP) in Ocular Hypertension
NCT05874258,Effectiveness of NIBS and Perceptual Learning for Improving Visual Performance in Patients With Glaucoma
NCT05694858,Transdermal Microneedle Lignocaine Delivery Versus EMLA Patch for Topical Analgesia Before Venepuncture Procedure To Adults in Clinical Setting
NCT01254058,Saccadic Eye Movements Are Impaired In Glaucoma
NCT01058278,Impact Post-operative Treatment on Intraocular Pressure Post-SLT on Patients With Primary Open-angle Glaucoma
NCT00804102,Transcorneal Electrical Stimulation Therapy for Retinal Disease
NCT03461978,Ultrahigh-resolution Optical Coherence Tomography Imaging of the Anterior Eye Segment Structures
NCT00508469,Adherence Assessment With Travalert Dosing Aid
NCT02727569,Quantification of Agreement and Variability of a Newly Developed Visual Field Algorithm With the Reference Standard
NCT03395535,Laser-1st vs Drops-1st for Glaucoma and Ocular Hypertension
NCT04052269,Phosphodiesterase Inhibitors in Glaucoma Study (PhiGS)
NCT03825380,Efficacy and Safety Assessment of T4032 Versus Lumigan® in Ocular Hypertensive or Glaucomatous Patients
NCT05666440,Visco-Circumferential-Suture-Trabeculotomy Versus Rigid Probe Viscotrabeculotomy in Primary Open Angle Glaucoma
NCT04541524,Vienna Preserflo Cohort Study
NCT04416724,Phacoemulsification vs SLT as Initial Treatment for Pseudoexfoliation Glaucoma
NCT03752840,Village-Integrated Eye Worker Trial II
NCT01467440,Efficacy of Selective Laser Trabeculoplasty in Patients Under Treatment With Topical Prostaglandines
NCT01546740,Prevalence of Glaucoma in the Israeli Arab Population
NCT00966940,Efficacy and Safety of Travoprost 0.004% Versus Tafluprost 0.0015% in Patients With Primary Open-angle Glaucoma or Ocular Hypertension
NCT00331240,24-Hour Intraocular Pressure (IOP) Control With Travoprost/Timolol Fixed Combination
NCT01830140,A Safety Study of Bimatoprost in Patients With Glaucoma or Ocular Hypertension
NCT01241240,Safety and Efficacy of Triple Combination Therapy in Patients With Primary Open-Angle Glaucoma or Ocular Hypertension
NCT04061044,A Study to Evaluate the Long Term Safety of OTX-TP (Sustained Release Travoprost) Intracanalicular Insert
NCT01476644,How Has Glaucoma Affected Your Quality of Life?
NCT03673644,Impact of Glaucoma and Visual Field Loss on Life Space
NCT05932940,Incidence of Descemet Membrane Detachment Post GATT by AS OCT
NCT01315340,Ocular Rigidity and Outflow Facility in Glaucomatous and Normal Eyes
NCT00656240,To Investigate the Safety and Efficacy of DE-104 Ophthalmic Solution to Treat Open-Angle Glaucoma or Ocular Hypertension
NCT00742378,Discriminating Ability of the Cirrus High Definition (HD) Optical Coherence Tomography (OCT) for Glaucoma
NCT06119178,EX-PRESS® P-50 and EX-PRESS® P-200
NCT00864578,Effects of Forskolin on Intraocular Pressure in Glaucomatous Patients Under Maximum Tolerated Medical Therapy
NCT01779778,Diurnal and Nocturnal Effect of Travatan With SofZia Preservative on Intraocular Pressure and Ocular Perfusion Pressure
NCT01223378,Study Comparing the Safety and Efficacy of BOL-303259-X to Latanoprost in Subjects With Glaucoma or Ocular Hypertension
NCT02059278,Safety and Efficacy of T-2345 Compared to Xalatan in Subjects With Primary Open Angle Glaucoma or Ocular Hypertension
NCT02966678,Incidence of Dyschromatopsia in Glaucoma
NCT03365778,Educational Intervention to Adopt SLT as First-Line Glaucoma Treatment
NCT02312544,Phase 2b Study Evaluating Safety and Efficacy of OTX-TP Compared to Timolol Drops in the Treatment of Subjects With Open Angle Glaucoma or Ocular Hypertension
NCT03330574,To Study the Function of the Retina in Glaucoma Patients Using PERG
NCT04360174,CLN-0045: Safety and Efficacy of OTX-TIC in Participants With Open Angle Glaucoma or Ocular Hypertension
NCT01263444,Safety and Efficacy of Adding AZARGA® Adjunctive to Prostaglandin Therapy
NCT01293474,Choroidal Thickness in Glaucoma Patients and Healthy Controls
NCT00347841,Efficacy of Bimatoprost 0.03% in Patients Who Are Low-Responders to Latanoprost
NCT00440141,Brimonidine 0.1% Versus Brinzolamide 1% as Adjunctive Therapy to Latanoprost 0.005%
NCT00986141,Effects of Selective Laser Trabeculoplasty
NCT03011541,Stem Cell Ophthalmology Treatment Study II
NCT00047541,Phase 3 Study to Evaluate IOP Lowering Therapy in Open Angle Glaucoma and Ocular Hypertension C-01-70
NCT00759941,A Comparison of Azopt Versus Placebo Added to Xalatan in Patients With Elevated Intraocular Pressure (IOP) on a Prostaglandin
NCT01361841,Effects of Latanoprost Bimatoprost and Travoprost in Patients With Latanoprost-resistant Glaucoma
NCT02955641,Efficacy and Necessity of Anti-inflammatory Drops After Laser Peripheral Iridotomy
NCT00430274,Photographic Imaging of the Retina and Optic Nerve Head of Glaucoma Patients and Normal Controls
NCT03684174,Non-Contact Air Tonometry (Topcon CT-1®) Versus Goldmann
NCT01494974,Comparison of the Ahmed Glaucoma Valve FP7 and FP8 in Pediatric Glaucoma
NCT00966576,Efficacy and Safety of Adding Azarga to Prostaglandin Monotherapy
NCT04698876,Self Tonometry and Transfer of Glaucoma Patients' Data for Improving the Supply Situation
NCT02945176,Safety and Performance Study of the ARGOS-IO System in Patients Undergoing Boston Keratoprosthesis Implantation
NCT04149899,Safety and IOP-Lowering Effects of WB007
NCT05394324,A Post-market Clinical Study to Collect Safety and Performance Data on Johnson & Johnson Surgical Vision Products
NCT03695224,Matching Glaucoma With Impaired Cognition
NCT02152774,A Study to Assess the Effect of Rho-Kinase Inhibitor AR-12286 Ophthalmic Solution 0.5% and 0.7% in Patients With Chronic Angle-closure Glaucoma
NCT04500574,Latanoprost Eluting Contact Lens for Treating Glaucoma and Ocular Hypertension
NCT01170481,Assessment of Retinal Nerve Fibre Layer by Optical Coherence Tomography in Uveitis Patients With Papilloedema
NCT01743781,Uptake of Comprehensive Eye Examination Trial
NCT01254370,Safety and Efficacy Study of Catioprost® (Unpreserved Latanoprost 0.005% Emulsion) Compared to Travatan Z® to Treat Glaucoma and Ocular Surface Disease
NCT01228799,Trabeculectomy Versus Canaloplasty
NCT03875911,Comparing Preoperative Injection of Mitomycin-C vs. Intraoperative Injection of Mitomycin-C vs. Topical Application of Mitomycin-C (Conventional Use) in Trabeculectomy
NCT01912599,Pilot Study on Ambulatory Intraocular Pressure and Blood Pressure Monitoring in Glaucoma
NCT01474070,GAT-DCT-Discordance Due to Corneal Properties
NCT02638181,The Expression of Matrix Metalloproteinase 13 Tissue Inhibitor of Metalloproteinases 3 and Calcium-sensing Receptor in Human Trabecular Meshwork
NCT04620876,Bimodal and Coaxial High Resolution Ophtalmic Imaging
NCT03480711,Modified Trabeculectomy With an ESST Versus Conventional SST for Management of Primary Open Angle Glaucoma
NCT05319470,Ocular Surface Disease and IOP Monitoring With Travoprost Without Conservatives
NCT02754570,The Diurnal and Nocturnal Effect of Pilocarpine on Intraocular Pressure and Ocular Perfusion Pressure
NCT03257813,Non-inferiority of PRO-122 Ophthalmic Solution vs KRYTANTEK Ofteno® in Glaucoma or Ocular Hypertension (CONFORTK)
NCT01726569,Post-operative Satisfaction With Glaucoma Surgery Trial
NCT00643669,24 Hour IOP Lowering Efficacy of AL-3789
NCT03807869,Reduction of Intraocular Pressure After I-stent By-pass Implantation in Eyes With Open Angle Glaucoma
NCT01426113,A Study of the Safety and Efficacy of Bimatoprost Ophthalmic Solution in Paediatric Patients With Glaucoma
NCT03697811,DE-117 Spectrum 5 Study
NCT03127813,PAIR Study-PAP And IOP Relationship: Study 1
NCT00327613,Plasma Levels of Matrix Metalloproteinases (MMPs) and Degree of DNA Fragmentation in Pseudoexfoliation (PEX) Glaucoma
NCT01336569,Safety and Efficacy of Changing to DuoTrav in Patients Uncontrolled on Timolol
NCT04430296,Cyclophotocoagulation in Primary Open Angle Glaucoma
NCT03480295,Effects of a PF Ophthalmic Solution Containing HA0.4% and TAU 0.5%
NCT00145535,SOLX Titanium Sapphire Laser for Trabeculoplasty
NCT01641835,Optical Coherence Tomography (OCT) Data Collection Study
NCT01474135,AR-12286 Fixed Dose Combination to Lower Elevated Intraocular Pressure
NCT04412096,Aqueous Humor Dynamic Components That Determine Intraocular Pressure Variance
NCT01766596,Study the Signs of Ocular Degeneration in a Population Cohort (Dijon 3C Montrachet Cohort)
NCT00825396,An Open-Label Study of an Ophthalmic Solution to Reduce Intraocular Pressure in Patients With Ocular Hypertension
NCT01503996,Drinking Habits of Glaucoma Patients and Age Matched Controls
NCT01298635,Comparison of Phacotrabeculectomy and Trabeculectomy in the Treatment of Primary Angle-closure Glaucoma (PACG)
NCT05277870,Use of Nanodropper vs. Standard Eyedropper in Patients With Glaucoma and Ocular Hypertension
NCT05938699,Aqueous Humor Dynamics of NCX 470 Ophthalmic Solution
NCT04381611,INTEGRAL Study: A Longitudinal Study of Surgeries and Lasers in Glaucoma: Long-term Results and Success Predictors Analysed From a Large-scale Retrospective and Prospective Glaucoma Register
NCT05309811,Effect of Repeated Low-Level Red-Light Therapy on Visual Field Damage in Primary Open-angle Glaucoma
NCT02520674,Glaucoma Screening With Smartphone Ophthalmology
NCT00000144,Glaucoma Laser Trial (GLT) Glaucoma Laser Trial Followup Study (GLTFS)
NCT01489670,Observational Study of Lumigan® 0.01% Treatment for Patients With Primary Open Angle Glaucoma or Ocular Hypertension
NCT03331770,Efficacy and Tolerability of an Innovative Formulation of BAK-free Latanoprost
NCT01528111,Study to Evaluate the Safety Tolerability and Efficacy of LX7101 in Subjects With Primary Open-angle Glaucoma or Ocular Hypertension
NCT03624699,Investigation of the iStent Inject® Devices in Open-Angle Glaucoma
NCT01314170,Evaluation of Efficacy and Safety of Susanna Implant in Patients With Refractory Glaucoma.
NCT02385370,Bleb Function and Morphology With Intratendon Injection of MMC Compared With Standard Method
NCT00967811,A Study of Different Formulations of the L-PPDS in Subjects With OH or OAG
NCT03639870,Investigation of the Glaukos® Trabecular Micro-Bypass System Model iS3 in Subjects With Refractory Glaucoma
NCT02347670,Comparison Study of Glaucoma Eye Care Follow-Up Adherence in a High Risk Population
NCT04654611,Tafluprost Preservative Free Switch Study
NCT00440011,Bimatoprost 0.03% Versus Travoprost 0.004% in Patients Currently on Latanoprost 0.005%
NCT02105311,Effect of Selective Laser Trabeculoplasty Versus Travoprost on Circardian Intraocular Pressure
NCT04334499,Mitochondrial DNA in Vitreous Fluid and Blood in Patients With Eye Disease or Ocular Trauma.
NCT01327599,Efficacy of Changing to DUOTRAV® From Prior Therapy
NCT01594970,A Safety and Efficacy Study of Bimatoprost 0.01% in Primary Open-Angle Glaucoma (POAG) or Ocular Hypertension (OH)
NCT02774811,Primary Glaucoma Treatment Trial in Kenya and South Africa - SLT vs. Medication
NCT02982499,Biomechanics of Optic Neuropathy
NCT05283395,Rocklatan® Evaluation
NCT05135195,A Virtual Reality Platform Simulating Visual Impairment for Testing of Electronic Travel Aids and Performing Orientation and Mobility Training
NCT02466399,POLAT-001 Compared to Latanoprost Ophthalmic Solution in Patients With Ocular Hypertension and Open-angle Glaucoma
NCT01540370,Study Comparing Quantitative Assessments in Open-angle Glaucoma (OAG) and/or Ocular Hypertension (OHT)
NCT05960513,Impact of Breathing Exercises and Meditation on Improving Quality of Life in Glaucoma Patients
NCT05075369,Water Drinking Test Study and Disc Hemorrhages in Normal Tension Glaucoma
NCT03172299,Prevention of Neovascular Glaucoma by Intravitreal Injections of Anti-VEGF in Patients Treated With Proton Therapy for a Large Choroidal Melanoma
NCT04133311,A Phase III Multinational Multicenter Investigator-Masked Randomised Active-Controlled Trial Comparing the Efficacy and Safety of DE-130A With Xalatan® in Patients With Open-Angle Glaucoma or Ocular Hypertension
NCT00567411,Comparison of the Alpha-2 Agonists for Prevention of Intraocular Pressure Elevation After Selective Laser Trabeculoplasty
NCT05904613,Evaluation of the Impact of the XEN® Implant on Endothelial Cell Density 3 Years After Surgery
NCT01621841,Analysis of Visual Pathways in Glaucoma Patients Using a 3tesla-MRI
NCT01995136,Investigation of Intraocular Pressure (IOP) Reduction Efficacy of Travoprost Ophthalmic Solution in Patients With Normal Tension Glaucoma
NCT00440336,Comparison of Efficacy of Two Groups of Glaucoma Drops (Xalatan vs.Cosopt) in Reducing Eye Pressure Following Laser (SLT)Treatment in the Management of Glaucoma.
NCT01415401,Efficacy and Tolerability of AZARGA® as Replacement Therapy in Patients on COMBIGAN® Therapy in Canada
NCT03159780,Prevalence of Corneal Astigmatism Before Glaucoma Surgery in Chinese Patients With Primary Angle-closure Glaucoma
